feature,importance
lag_return_2,0.12428867686879264
volatility_ratio,0.09262445384107515
intraday_position,0.09195940170822194
lag_return_1,0.09095746232631655
volume_ratio,0.08519469486573153
lag_volatility_1,0.07651596132216698
volatility_5,0.07562925680516858
log_volume,0.07340030588719566
lag_volatility_2,0.06758927397382634
lag_volume_2,0.05951064924354728
lag_volume_1,0.05531451004939417
volume_spread_interaction,0.05406610771683803
spread_pct,0.05294924539172518
lag_oi_1,0.0
volatility_oi_interaction,0.0
lag_oi_2,0.0
oi_15min,0.0
oi_25min,0.0
oi_50min,0.0
oi_75min,0.0
